ss_start,particle_size,pressure,space_time_avg,actual_MFR,X_good_C,dH_max/A,dH_max/A/T^4,tau_min,Re_in,Re_out,CH4_yield,tube_type,optical_thickness,C_H2O,pp_H2O_corr
04/11/2011 3:30:00 PM,Rice hulls minus 80,5,1.08951,22.991449,0.6467846154,33.121346421,0.1276155167,0.3766956379,4773.0178583,8136.2804407,0.1507628727,SiC,0.2026764481,13.794415873,13.58878995
04/13/2011 4:00:00 AM,Rice hulls minus 80,7,1.05424,38.362953,0.5025758242,49.049289465,0.1851852588,0.3329408359,4978.6414389,8233.1360047,0.1158072279,SiC,0.2960168719,12.661519556,12.387831014
04/14/2011 6:45:00 AM,Rice hulls minus 80,7,1.61154,38.630842,0.4542472527,48.182057077,0.1837381683,0.3902209022,4202.9237205,7071.6932036,0.0962299993,SiC,0.4468875274,12.258200544,10.031567706
04/15/2011 11:30:00 PM,Rice hulls minus 80,5,1.5805,26.778788,0.5371549451,35.97193605,0.1308449871,0.4248717857,3893.7498643,6507.987656,0.1179139901,SiC,0.3219929514,12.029275209,10.176426581
06/09/2011 3:00:00 AM,Rice hulls minus 80,10,1.0535,27.71334,0.4841131868,38.760265854,0.1511263386,0.4216054129,5390.8784748,8198.4870003,0.1105852816,SiC,0.2330307202,15.747350321,16.165593958
06/09/2011 9:00:00 PM,Rice hulls minus 80,10,1.05634,27.89127,0.4371461538,38.907251906,0.1513804682,0.4377639448,5371.9791962,8106.7402146,0.1006170929,SiC,0.2347011453,15.765851773,16.212971796
06/28/2011 4:20:00 PM,Rice hulls minus 80,10,1.20305,26.1804081,0.5309417582,37.136077326,0.1390305006,0.4392540956,4718.2875263,7516.7341944,0.109628,metal,0.2484192606,17.65644726,17.816284333
06/29/2011 12:00:00 AM,Rice hulls minus 80,10,1.22373,26.0725899,0.5033043956,36.68234416,0.1372129253,0.4514017445,4579.7199096,7318.7536944,0.1015873175,metal,0.2504103039,17.866680814,18.235132813
06/30/2011 9:30:00 AM,Rice hulls minus 80,10,1.25259,41.1933249,0.4782791209,52.568438029,0.2079047591,0.3817426055,5128.6500808,8806.8911531,0.1114973144,metal,0.3758640352,17.569264287,17.211816676
07/02/2011 12:00:00 AM,Rice hulls minus 80,20,2.14703,40.811632796,0.4735131868,50.198893659,0.1987187,0.5728600554,4484.9381482,8172.8995124,0.1107751974,metal,0.6187339101,25.646295856,24.244296998
07/03/2011 2:00:00 AM,Rice hulls minus 80,30,2.82508,43.910836526,0.4677813187,53.487064141,0.2053384577,0.697929348,4442.1013494,8750.3974795,0.1146352769,metal,0.8575148281,33.383634483,31.708878652
07/06/2011 8:00:00 AM,Rice hulls minus 80,30,1.9084,68.711524046,0.4315791209,80.23088989,0.3002881006,0.5271349188,5889.2015859,11451.121836,0.1117058512,metal,0.8496451302,31.911311386,34.721391596
07/09/2011 2:30:00 AM,Rice hulls minus 80,45,2.7907,68.497936154,0.4459802198,77.700116065,0.2934995284,0.7134372069,5059.6110736,11017.546748,0.1228712964,metal,1.1808923054,44.467171537,51.772821009
07/10/2011 3:00:00 AM,Rice hulls minus 80,45,4.22802,48.81729807,0.5455758242,56.745866781,0.2139533253,0.7424761945,3801.4189072,11260.491028,0.1557960281,metal,1.3192827111,46.966375615,48.22555331
07/18/2011 8:00:00 PM,Rice hulls minus 80,45,3.65093,61.328235326,0.501932967,71.635803433,0.2702258668,0.8108913215,4313.6578373,9441.4404977,0.1462118254,metal,1.4028164079,47.660800754,49.935874704
07/23/2011 1:00:00 AM,Rice hulls minus 80,60,5.55425,48.740501951,0.4823934066,57.261419256,0.2192305884,1.0847849739,3647.1683345,9483.6607285,0.1356740448,metal,1.731279405,59.076437075,60.20882641
07/23/2011 11:30:00 PM,Rice hulls minus 80,60,4.093,62.518578557,0.4369087912,73.726646978,0.2837955908,0.8090244563,4969.6280162,13298.336565,0.1256751637,metal,1.6531276412,55.152158042,56.383196224
07/25/2011 3:15:00 AM,Rice hulls minus 80,60,4.22703,63.994607657,0.4519505495,74.243667845,0.2877492337,0.8545806281,4701.865906,12326.992118,0.1271332238,metal,1.6998089897,55.522142852,58.706451482
07/29/2011 4:00:00 AM,Rice hulls minus 80,10,1.34126,29.720687921,0.5276527473,38.6398577,0.1427190794,0.4396896155,3947.6010318,7251.0026054,0.1027515785,metal,0.2945662901,18.571824108,20.452579705
07/29/2011 11:00:00 PM,Rice hulls minus 80,10,1.82916,48.420142499,0.4154010989,57.131172875,0.212498843,0.4406889362,3619.964937,7241.7759976,0.0921664857,metal,0.5659535532,19.425003415,19.996773369
